Keysight E1733A String Table
Korean

[1],Linear,거리변위
[3173],Enter the feed speed for the measurement,측정을 위한 이송 속도를 입력
[3174],Enter the dwell time for the object at each position,각 위치에서 객체의 지속 시간을 입력
[3175],Enter the thermal coefficient of the device to be measured,측정을 위한 기기의 열 팽창 계수를 입력
[3176],Select if NDE correction is used,개정 NDE을 채택할지 여부를 선택합니다
[3177],Enter the name and serial number of the instrument used for the measurement,측정에 사용되는 기기의 이름과 일련 번호를 입력
[3178],Enter the locations of the axes not used in the calibration,교정에 사용되지 축의 위치를?? 입력
[3179],Enter the reference bias of the tool in X direction,X 방향으로의 공구의 기준 바이어스 입력
[3180],Enter the reference bias of the device in X direction,X 방향으로 장치의 기준 바이어스 입력
[3181],Enter the reference bias of the tool in Y direction,Y 방향으로의 공구의 기준 바이어스 입력
[3182],Enter the reference bias of the tool in Y direction,Y 방향으로의 공구의 기준 바이어스 입력
[3183],Enter the reference bias of the device in Y direction,Y 방향으로의 장치의 레퍼런스 바이어스 입력
[3184],Enter the reference bias of the device in Y direction,Y 방향으로의 장치의 레퍼런스 바이어스 입력
[3185],Enter the coordinate of the material sensor 1,상기 재료 센서 (1)의 좌표를 입력합니다
[3186],Enter the coordinate of the material sensor 2,상기 재료 센서 (2)의 좌표를 입력합니다
[3187],Enter the coordinate of the air sensor,상기 공기 센서의 좌표를 입력합니다
[3188],Enter the coordinate of the material sensor 3,상기 재료 센서 (3)의 좌표를 입력합니다
[3189],The update time of the sensor data in the compensation program,보상 프로그램의 센서 데이터의 갱신 시간
[3190],Enter the maximum difference between the environmental temperature and 20 degree C during the measurement,측정시의 환경 온도 20도 C 사이의 최대 차이를 입력
[3191],Enter the maximum error of the material sensors used during the measurement,측정시에 사용되는 재료 센서의 최대 오차를 입력
[3192],The maximum length of the measurement,측정의 최대 길이
[3193],The error range of the instruments used in the measurement,측정에 사용되는 기기의 오차 범위
[3194],Enter the estimated error from the optic alignment in the measurement,측정의 광학 정렬로부터 추정 오차를 입력
[3195],Enter the uncertainty of the expansion coefficient in the measurement,측정에 팽창 계수의 불확실성을 입력
[3196],Enter the estimated error from the change of the environmental parameters in the measurement,측정의 환경 매개 변수의 변화로 추정 오차를 입력
[3197],Select if the instruments used in the measurement are calibrated,측정에 사용되는 악기 교정하는 경우에 선택
[3198],Select the serial number of the E1735A for the second axis,두 번째 축에 대한 E1735A의 일련 번호를 선택
[3199],Select the serial number of the E1736A for the second axis,두 번째 축에 대한 E1736A의 일련 번호를 선택
[3200],Select the serial number of the E1735A for the first axis,제 1 축에 대한 E1735A의 일련 번호를 선택
[3201],Select the serial number of the E1736A for the first axis,제 1 축에 대한 E1736A의 일련 번호를 선택
[3202],Display help information when the mouse cursor moves over an item,
[3203],Leave extra margin on selected side of paper,

[4001],Click to start linear measurement |Calibrate the accuracy of a linear guide,선형 측정을 시작하려면 클릭 | 리니어 가이드의 정확성을 보정
[4002],Click to start rotary measurement |Calibrate the accuracy of a rotary stage,회전 측정을 시작하려면 클릭 | 로터리 스테이지의 정확도를 보정
[4003],Click to start angular measurement |Measure pitch or yaw along a linear path,"각도 측정을 시작하려면 클릭 | 선형 경로를 따라 피치, 요 측정"
[4004],Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.,웨이 진직도 측정을 시작하려면 클릭 | 밀링 머신 등의 기계 부품을 따라 여러 지점에서 직선 측정을 위해 각도 광학을 사용합니다.
[4005],Click to start time base linear measurement |Measure linear displacement over time,시간 기본 선형 측정을 시작하려면 클릭 | 시간이 지남에 따라 선형 변위를 측정
[4006],Click to start straightness measurement |Use straightness optics to determine if a machine’s moveable part is moving along a straight path,진직도 측정을 시작하려면 클릭 | 기계의 가동 부분이 직선 경로를 따라 이동하는지를 확인하기 위해 진직도 광학을 사용한다
[4007],"Click to start diagonal measurement |Use for volumetric analysis, as described in ANSI standard B5.54",대각선 측정을 시작하려면 클릭 | ANSI 표준 B5.54의 설명에 따라 체적 분석을 위해 사용
[4008],"Click to start squareness measurement |Use to determine if two machine axes are oriented, and move, perpendicular to each other",직각도 측정을 시작하려면 클릭 | 공작 기계의 주축 사이의 수직 측정 오차
[4009],Click to start the parallelism measurement |Use to determine if two machine axes move parallel to each other,평행도 측정을 시작하기 위해 클릭 | 스핀들 병렬 기계 또는 동일 평면 병렬 측정
[4010],Click to start the flatness measurement |Measure the flatness error of a surface plate,평탄도 측정을 시작하려면 클릭 | 정반의 평탄도를 측정 오차
[4011],Click to start dual axis measurement |Calibrate the linear position accuracy of two linear guide synchronously,두 축 측정을 시작하려면 클릭 |  2 축의 동기식 선형 위치 정밀도의 보정
[4012],Click to start time base angular measurement |Measure angle value over time,시간 기본 각도 측정을 시작하려면 클릭 | 시간에 각도 값을 측정
[4013],Click to start time base straightness measurement |Measurement straightness value over time,시간 기본 진직도 측정을 시작하려면 클릭 | 시간이 지남에 따라 진직도 값을 측정
[4014],Setup basic options,설치 기본 옵션
[4015],Open the help file,도움말 파일을 엽니다
[4016],Exit the program,프로그램을 종료
[4017],Open an existing file |Start or review a measurement using saved data,기존 파일을 엽니다 | 저장된 데이터를 사용하여 측정 하거나 확인하기 위해
[4018],Display one less decimal place,소수점 이하 표시
[4019],Display one more decimal place,소수점 이상 표시
[4020],Change the sign of upper display number,상단에 표시된 숫자의 부호를 변경
[4021],Change the sign of lower display number,하단에 표시된 숫자의 부호를 변경
[4022],The status of the measurement module of second axis |Click to enter hardware setup menu,두 번째 축의 측정 모듈의 상태 | 하드웨어 설정 메뉴를 입력하려면 클릭
[4023],The software is running in demo mode |Click to enter hardware setup menu,이 소프트웨어는 데모 모드에서 실행 | 하드웨어 설정 메뉴를 입력하려면 클릭
[4024],The status of the laser head |Click to enter the hardware setup menu,레이저 헤드의 상태는 | 하드웨어 설정 메뉴를 입력하려면 클릭
[4025],The status of the second laser head |Click to enter the hardware setup menu,두범째 레이저 헤드의 상태는 | 하드웨어 설정 메뉴를 입력하려면 클릭
[4026],The status of the single axis measurement module |Click to enter the hardware setup menu,단일 축 측정 모듈의 상태는 | 하드웨어 설정 메뉴를 입력하려면 클릭
[4027],The status of the sensor interface card |Click to enter the hardware setup menu,센서 인터페이스 카드의 상태는 | 하드웨어 설정 메뉴를 입력하려면 클릭
[4028],The communication status of the single axis measurement module |Click to enter the hardware setup menu,단일 축 측정 모듈의 통신 상태 | 하드웨어 설정 메뉴를 입력하려면 클릭
[4029],Display the line correspond to the number on the right side as the first line,번호는 첫 번째 행의 표시 라인의 우측에 대응
[4030],Select the program to use for the download operation,다운로드 동작의 실행 파일을 실행하여
[4031],Run the selected download program,실행 사용자 정의 다운로드 작업
[4032],Increase font size,글꼴 크기를 증가
[4033],Decrease font size,글꼴 크기를 줄입니다
[4034],Display the graph symmetrically,대칭 그래프를 표시
[4035],Display the graph,그래프를 표시
[4036],"Enlarge the designated area |Press left button of the mouse, drag the pointer, and release the button",", 마우스를 눌러 왼쪽 버튼을 포인터를 드래그 해 놓습니다 | 지정된 영역을 확대"
[4037],Zoom in,확대
[4038],Zoom out,축소
[4039],Copy the current data or graph to the clipboard,클립 보드에 현재 데이터 나 그래프를 복사
[4040],The status of the measurement,측정 상태
[4041],The progress of the measurement,측정의 진행
[4042],Compensation table |Double click to enlarge or reduce,보정 테이블 | 더블 확대하거나 줄일 클릭
[4043],Machine information |Double click to enter machine information menu,기계 정보 | 더블 기계 정보 메뉴를 입력합니다
[4044],Measurement setup |Double click to  enter measurement setup interface,측정 설정 | 더블 클릭하면 측정 설정 인터페이스를 입력합니다
[4045],Measurement results |Double click to enter the data analysis menu,측정 결과 | 데이터 분석 메뉴를 입력하려면 두 번 클릭
[4046],Save measurement settings or data,측정 설정이나 데이터를 저장
[4047],Print measurement results or report,인쇄 측정 결과 또는 보고서
[4048],Start or continue the measurement,시작하거나 측정을 계속
[4049],Record measurement data manually,수동으로 녹화 된 측정 데이터
[4050],Pause the measurement,측정을 일시 중지
[4051],Display help information,도움말 정보를 표시
[4052],Stop the measurement,측정을 중지
[4053],Erase the measurement data,측정 데이터를 삭제
[4054],"Reset laser data, erase error mark",레이저 데이터를 다시 에러 표시를 지우
[4055],"Input measurement settings, measurement data or machine information","입력 측정 설정, 측정 데이터 또는 시스템 정보"
[4056],Set up parameters,설정 매개 변수
[4057],Hardware information of the connected equipment,연결된 장비의 하드웨어 정보
[4058],The information of the connection and distribution of the sensors,센서의 연결 및 분포 정보
[4059],The list of the target positions,대상 위치의 목록
[4060],The list of the target positions of the second axis,두 번째 축의 목표 위치리스트
                                                                           
